window_size,tool_sequence,frequency
3,NAVIGATE -> TEST -> NAVIGATE,466
3,WRITE -> NAVIGATE -> BUILD,405
3,READ -> READ -> READ,385
3,NAVIGATE -> BUILD -> NAVIGATE,362
3,TEST -> NAVIGATE -> TEST,354
3,READ -> SEARCH_CONTENT -> READ,285
3,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,282
3,BUILD -> NAVIGATE -> TEST,248
3,SEARCH_CONTENT -> READ -> READ,224
3,READ -> READ -> WRITE,222
3,READ -> SEARCH_FILES -> READ,221
3,READ -> TEST -> READ,216
3,WRITE -> BUILD -> TEST,213
3,READ -> WRITE -> NAVIGATE,199
3,BUILD -> TEST -> TEST,182
3,NAVIGATE -> TEST -> READ,180
3,READ -> WRITE -> READ,176
3,WRITE -> READ -> WRITE,176
3,READ -> WRITE -> WRITE,162
3,READ -> READ -> SEARCH_CONTENT,159
3,NAVIGATE -> TEST -> WRITE,159
3,NAVIGATE -> BUILD -> BUILD,155
3,WRITE -> WRITE -> WRITE,154
3,READ -> NAVIGATE -> TEST,150
3,TEST -> READ -> TEST,149
3,SEARCH_CONTENT -> READ -> WRITE,149
3,SEARCH_CONTENT -> READ -> SEARCH_CONTENT,147
3,TEST -> TEST -> TEST,136
3,SEARCH_CONTENT -> SEARCH_CONTENT -> READ,132
3,WRITE -> WRITE -> NAVIGATE,132
3,SEARCH_FILES -> READ -> READ,130
3,TEST -> TEST -> READ,126
3,NAVIGATE -> VCS -> NAVIGATE,126
3,SEARCH_FILES -> READ -> SEARCH_FILES,123
3,READ -> WRITE -> BUILD,121
3,READ -> SEARCH_CONTENT -> SEARCH_CONTENT,119
3,READ -> TEST -> TEST,115
3,BUILD -> NAVIGATE -> BUILD,114
3,TEST -> WRITE -> NAVIGATE,109
3,TEST -> READ -> WRITE,107
3,TEST -> READ -> READ,107
3,WRITE -> READ -> READ,101
3,TEST -> NAVIGATE -> BUILD,99
3,NAVIGATE -> BUILD -> WRITE,96
3,BUILD -> BUILD -> WRITE,94
3,TEST -> SEARCH_CONTENT -> READ,89
3,BUILD -> WRITE -> NAVIGATE,89
3,READ -> READ -> NAVIGATE,86
3,TEST -> READ -> SEARCH_CONTENT,85
3,VCS -> NAVIGATE -> VCS,83
3,WRITE -> NAVIGATE -> TEST,81
3,WRITE -> WRITE -> READ,78
3,WRITE -> BUILD -> BUILD,76
3,READ -> READ -> SEARCH_FILES,74
3,WRITE -> WRITE -> BUILD,73
3,TEST -> READ -> NAVIGATE,68
3,BUILD -> TEST -> WRITE,67
3,READ -> NAVIGATE -> BUILD,65
3,READ -> SEARCH_FILES -> SEARCH_FILES,64
3,BUILD -> BUILD -> NAVIGATE,64
3,WRITE -> NAVIGATE -> WRITE,63
3,NAVIGATE -> WRITE -> NAVIGATE,63
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,62
3,TEST -> WRITE -> BUILD,61
3,TEST -> TEST -> WRITE,60
3,TEST -> WRITE -> WRITE,60
3,READ -> READ -> TEST,59
3,NAVIGATE -> VCS -> WRITE,59
3,SEARCH_CONTENT -> SEARCH_FILES -> READ,58
3,SEARCH_CONTENT -> READ -> NAVIGATE,58
3,NAVIGATE -> SEARCH_CONTENT -> READ,58
3,SEARCH_FILES -> SEARCH_FILES -> READ,55
3,NAVIGATE -> SEARCH_CONTENT -> NAVIGATE,54
3,NAVIGATE -> TEST -> SEARCH_CONTENT,53
3,TEST -> NAVIGATE -> VCS,48
3,SEARCH_FILES -> READ -> SEARCH_CONTENT,47
3,READ -> SEARCH_CONTENT -> SEARCH_FILES,46
3,NAVIGATE -> BUILD -> TEST,46
3,BUILD -> WRITE -> BUILD,46
3,READ -> BUILD -> TEST,44
3,TEST -> SEARCH_FILES -> READ,44
3,WRITE -> READ -> NAVIGATE,44
3,READ -> TEST -> SEARCH_CONTENT,44
3,READ -> WRITE -> TEST,42
3,TEST -> READ -> SEARCH_FILES,42
3,BUILD -> WRITE -> WRITE,42
3,SEARCH_CONTENT -> NAVIGATE -> SEARCH_CONTENT,41
3,READ -> NAVIGATE -> SEARCH_CONTENT,40
3,BUILD -> READ -> WRITE,40
3,BUILD -> WRITE -> READ,38
3,BUILD -> TEST -> NAVIGATE,35
3,SEARCH_CONTENT -> READ -> TEST,34
3,WRITE -> READ -> SEARCH_CONTENT,34
3,READ -> WRITE -> SEARCH_CONTENT,33
3,SEARCH_FILES -> READ -> WRITE,33
3,SEARCH_FILES -> READ -> NAVIGATE,32
3,READ -> SEARCH_CONTENT -> NAVIGATE,32
3,NAVIGATE -> BUILD -> READ,32
3,NAVIGATE -> SEARCH_CONTENT -> WRITE,32
3,SEARCH_FILES -> SEARCH_CONTENT -> READ,32
3,BUILD -> TEST -> READ,31
3,READ -> TEST -> SEARCH_FILES,31
3,BUILD -> NAVIGATE -> VCS,31
3,SEARCH_CONTENT -> WRITE -> NAVIGATE,31
3,TEST -> TEST -> SEARCH_CONTENT,30
3,SEARCH_FILES -> READ -> TEST,30
3,READ -> NAVIGATE -> VCS,30
3,WRITE -> NAVIGATE -> SEARCH_CONTENT,30
3,WRITE -> BUILD -> WRITE,30
3,WRITE -> TEST -> TEST,30
3,BUILD -> BUILD -> READ,29
3,WRITE -> NAVIGATE -> VCS,29
3,BUILD -> BUILD -> BUILD,29
3,SEARCH_CONTENT -> READ -> SEARCH_FILES,28
3,NAVIGATE -> FILE_OPS -> NAVIGATE,28
3,VCS -> WRITE -> NAVIGATE,28
3,BUILD -> BUILD -> TEST,28
3,TEST -> WRITE -> READ,27
3,WRITE -> NAVIGATE -> PATCH,26
3,WRITE -> SEARCH_CONTENT -> READ,26
3,SEARCH_CONTENT -> NAVIGATE -> BUILD,25
3,SEARCH_CONTENT -> WRITE -> WRITE,24
3,TEST -> TEST -> NAVIGATE,24
3,OTHER -> OTHER -> OTHER,24
3,NAVIGATE -> BUILD -> SEARCH_CONTENT,24
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_FILES,23
3,READ -> NAVIGATE -> WRITE,23
3,SEARCH_FILES -> SEARCH_FILES -> SEARCH_CONTENT,23
3,NAVIGATE -> SEARCH_FILES -> NAVIGATE,23
3,BUILD -> SEARCH_CONTENT -> READ,22
3,SEARCH_CONTENT -> WRITE -> BUILD,22
3,WRITE -> TEST -> WRITE,22
3,TEST -> TEST -> BUILD,21
3,NAVIGATE -> WRITE -> WRITE,21
3,WRITE -> SEARCH_CONTENT -> SEARCH_CONTENT,21
3,VCS -> NAVIGATE -> TEST,20
3,READ -> SEARCH_FILES -> SEARCH_CONTENT,20
3,SEARCH_CONTENT -> NAVIGATE -> TEST,20
3,TEST -> TEST -> SEARCH_FILES,19
3,NAVIGATE -> WRITE -> READ,19
3,TEST -> WRITE -> TEST,19
3,BUILD -> READ -> READ,18
3,VCS -> WRITE -> WRITE,18
3,TEST -> BUILD -> TEST,18
3,VCS -> WRITE -> BUILD,18
3,SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE,17
3,READ -> TEST -> WRITE,17
3,WRITE -> NAVIGATE -> FILE_OPS,17
3,READ -> READ -> BUILD,17
3,SEARCH_FILES -> NAVIGATE -> TEST,17
3,BUILD -> NAVIGATE -> SEARCH_FILES,17
3,TEST -> TEST -> VCS,16
3,TEST -> VCS -> VCS,16
3,NAVIGATE -> SEARCH_FILES -> READ,16
3,VCS -> WRITE -> READ,16
3,NAVIGATE -> FILE_OPS -> WRITE,16
3,WRITE -> TEST -> READ,16
3,READ -> SEARCH_CONTENT -> WRITE,16
3,TEST -> SEARCH_CONTENT -> NAVIGATE,16
3,TEST -> SEARCH_CONTENT -> SEARCH_CONTENT,16
3,WRITE -> WRITE -> TEST,16
3,NAVIGATE -> VCS -> READ,16
3,SEARCH_CONTENT -> SEARCH_FILES -> SEARCH_FILES,15
3,READ -> NAVIGATE -> SEARCH_FILES,15
3,BUILD -> NAVIGATE -> FILE_OPS,15
3,READ -> TEST -> BUILD,15
3,SEARCH_CONTENT -> SEARCH_FILES -> SEARCH_CONTENT,15
3,WRITE -> SEARCH_CONTENT -> WRITE,14
3,WRITE -> BUILD -> READ,13
3,SEARCH_FILES -> TEST -> READ,13
3,TEST -> NAVIGATE -> SEARCH_CONTENT,13
3,SEARCH_CONTENT -> NAVIGATE -> WRITE,13
3,VCS -> VCS -> VCS,13
3,BUILD -> TEST -> BUILD,13
3,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT,13
3,WRITE -> TEST -> BUILD,13
3,BUILD -> WRITE -> TEST,13
3,BUILD -> TEST -> SEARCH_CONTENT,13
3,BUILD -> READ -> SEARCH_CONTENT,12
3,TEST -> READ -> BUILD,12
3,TEST -> SEARCH_FILES -> SEARCH_FILES,12
3,BUILD -> TEST -> VCS,12
3,NAVIGATE -> SEARCH_FILES -> WRITE,12
3,TEST -> NAVIGATE -> FILE_OPS,12
3,TEST -> BUILD -> WRITE,12
3,BUILD -> SEARCH_CONTENT -> SEARCH_CONTENT,12
3,WRITE -> WRITE -> SEARCH_CONTENT,11
3,TEST -> SEARCH_CONTENT -> WRITE,11
3,VCS -> VCS -> WRITE,11
3,WRITE -> BUILD -> NAVIGATE,11
3,READ -> VCS -> WRITE,11
3,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_FILES,11
3,SEARCH_CONTENT -> NAVIGATE -> VCS,11
3,NAVIGATE -> PATCH -> NAVIGATE,11
3,BUILD -> SEARCH_FILES -> READ,10
3,BUILD -> BUILD -> FILE_OPS,10
3,SEARCH_FILES -> SEARCH_FILES -> NAVIGATE,10
3,NAVIGATE -> TEST -> SEARCH_FILES,10
3,FILE_OPS -> NAVIGATE -> WRITE,10
3,TEST -> BUILD -> BUILD,10
3,READ -> TEST -> NAVIGATE,10
3,READ -> NAVIGATE -> FILE_OPS,10
3,BUILD -> READ -> NAVIGATE,10
3,BUILD -> NAVIGATE -> SEARCH_CONTENT,10
3,SEARCH_CONTENT -> WRITE -> READ,10
3,NAVIGATE -> DEFECTS4J_OTHER -> NAVIGATE,10
3,SEARCH_CONTENT -> READ -> BUILD,9
3,SEARCH_FILES -> NAVIGATE -> BUILD,9
3,WRITE -> TEST -> NAVIGATE,9
3,NAVIGATE -> PATCH -> WRITE,8
3,SEARCH_FILES -> WRITE -> READ,8
3,VCS -> NAVIGATE -> FILE_OPS,8
3,READ -> SEARCH_FILES -> TEST,8
3,FILE_OPS -> BUILD -> TEST,8
3,VCS -> NAVIGATE -> SEARCH_CONTENT,8
3,WRITE -> NAVIGATE -> UTIL,8
3,WRITE -> FILE_OPS -> WRITE,8
3,BUILD -> WRITE -> SEARCH_CONTENT,8
3,WRITE -> READ -> BUILD,8
3,SEARCH_CONTENT -> TEST -> TEST,8
3,READ -> SEARCH_CONTENT -> TEST,8
3,SEARCH_FILES -> NAVIGATE -> SEARCH_CONTENT,8
3,SEARCH_CONTENT -> NAVIGATE -> SEARCH_FILES,8
3,BUILD -> BUILD -> SEARCH_CONTENT,8
3,NAVIGATE -> BUILD -> UTIL,8
3,FILE_OPS -> NAVIGATE -> TEST,8
3,VCS -> READ -> WRITE,8
3,SEARCH_CONTENT -> WRITE -> SEARCH_CONTENT,7
3,TEST -> VCS -> WRITE,7
3,TEST -> TEST -> FILE_OPS,7
3,WRITE -> NAVIGATE -> SEARCH_FILES,7
3,SEARCH_FILES -> WRITE -> NAVIGATE,7
3,FILE_OPS -> NAVIGATE -> BUILD,7
3,FILE_OPS -> WRITE -> BUILD,7
3,WRITE -> FILE_OPS -> NAVIGATE,7
3,TEST -> READ -> VCS,7
3,WRITE -> BUILD -> VCS,7
3,READ -> SEARCH_FILES -> NAVIGATE,7
3,BUILD -> SEARCH_CONTENT -> WRITE,7
3,READ -> BUILD -> WRITE,7
3,TEST -> NAVIGATE -> SEARCH_FILES,7
3,WRITE -> NAVIGATE -> READ,7
3,VCS -> READ -> READ,7
3,WRITE -> READ -> TEST,7
3,NAVIGATE -> VCS -> SEARCH_CONTENT,7
3,READ -> BUILD -> SEARCH_FILES,6
3,WRITE -> BUILD -> SEARCH_CONTENT,6
3,NAVIGATE -> WRITE -> OTHER,6
3,WRITE -> READ -> VCS,6
3,NAVIGATE -> PATCH -> READ,6
3,TEST -> SEARCH_CONTENT -> SEARCH_FILES,6
3,READ -> VCS -> VCS,6
3,VCS -> TEST -> WRITE,6
3,SEARCH_FILES -> READ -> BUILD,6
3,SEARCH_FILES -> NAVIGATE -> SEARCH_FILES,6
3,TEST -> TEST -> UTIL,6
3,SEARCH_FILES -> SEARCH_CONTENT -> NAVIGATE,6
3,TEST -> BUILD -> READ,6
3,NAVIGATE -> WRITE -> FILE_OPS,6
3,FILE_OPS -> WRITE -> NAVIGATE,6
3,FILE_OPS -> NAVIGATE -> VCS,6
3,NAVIGATE -> READ -> READ,6
3,BUILD -> BUILD -> VCS,6
3,NAVIGATE -> READ -> WRITE,6
3,TEST -> BUILD -> SEARCH_FILES,5
3,TEST -> NAVIGATE -> DEFECTS4J_OTHER,5
3,NAVIGATE -> FILE_OPS -> FILE_OPS,5
3,NAVIGATE -> WRITE -> BUILD,5
3,READ -> SEARCH_FILES -> WRITE,5
3,TEST -> BUILD -> SEARCH_CONTENT,5
3,VCS -> VCS -> TEST,5
3,BUILD -> VCS -> WRITE,5
3,SEARCH_CONTENT -> WRITE -> TEST,5
3,TEST -> VCS -> TEST,5
3,VCS -> SEARCH_CONTENT -> READ,5
3,TEST -> BUILD -> NAVIGATE,5
3,NAVIGATE -> SEARCH_CONTENT -> SEARCH_FILES,5
3,WRITE -> TEST -> VCS,5
3,SEARCH_CONTENT -> SEARCH_CONTENT -> NAVIGATE,5
3,NAVIGATE -> VCS -> TEST,5
3,TEST -> WRITE -> SEARCH_CONTENT,5
3,READ -> WRITE -> SEARCH_FILES,5
3,NAVIGATE -> TEST -> UTIL,5
3,BUILD -> NAVIGATE -> DEFECTS4J_OTHER,5
3,TEST -> NAVIGATE -> WRITE,5
3,NAVIGATE -> READ -> NAVIGATE,5
3,TEST -> NAVIGATE -> READ,5
3,WRITE -> WRITE -> FILE_OPS,5
3,VCS -> READ -> NAVIGATE,5
3,TEST -> UTIL -> NAVIGATE,5
3,UTIL -> NAVIGATE -> TEST,5
3,FILE_OPS -> TEST -> READ,4
3,WRITE -> OTHER -> OTHER,4
3,VCS -> NAVIGATE -> BUILD,4
3,BUILD -> FILE_OPS -> WRITE,4
3,UTIL -> READ -> READ,4
3,FILE_OPS -> WRITE -> WRITE,4
3,VCS -> TEST -> TEST,4
3,READ -> SEARCH_CONTENT -> VCS,4
3,NAVIGATE -> BUILD -> SEARCH_FILES,4
3,PATCH -> READ -> WRITE,4
3,SEARCH_FILES -> SEARCH_CONTENT -> WRITE,4
3,SEARCH_CONTENT -> SEARCH_FILES -> NAVIGATE,4
3,BUILD -> UTIL -> WRITE,4
3,NAVIGATE -> SEARCH_FILES -> SEARCH_CONTENT,4
3,SEARCH_CONTENT -> SEARCH_CONTENT -> TEST,4
3,SEARCH_FILES -> WRITE -> BUILD,4
3,SEARCH_CONTENT -> NAVIGATE -> FILE_OPS,4
3,TEST -> UTIL -> UTIL,4
3,FILE_OPS -> WRITE -> READ,4
3,SEARCH_FILES -> BUILD -> WRITE,4
3,PATCH -> NAVIGATE -> VCS,4
3,WRITE -> NAVIGATE -> SCRIPT,4
3,UTIL -> WRITE -> WRITE,4
3,DEFECTS4J_OTHER -> NAVIGATE -> BUILD,4
3,BUILD -> VCS -> READ,4
3,READ -> WRITE -> FILE_OPS,4
3,WRITE -> FILE_OPS -> BUILD,4
3,NAVIGATE -> FILE_OPS -> BUILD,4
3,READ -> UTIL -> READ,3
3,UTIL -> READ -> WRITE,3
3,PATCH -> WRITE -> READ,3
3,TEST -> WRITE -> SEARCH_FILES,3
3,NAVIGATE -> SEARCH_FILES -> TEST,3
3,BUILD -> TEST -> FILE_OPS,3
3,NAVIGATE -> VCS -> BUILD,3
3,VCS -> BUILD -> TEST,3
3,NAVIGATE -> FILE_OPS -> TEST,3
3,NAVIGATE -> VCS -> VCS,3
3,NAVIGATE -> DEFECTS4J_OTHER -> WRITE,3
3,DEFECTS4J_OTHER -> WRITE -> NAVIGATE,3
3,VCS -> SEARCH_CONTENT -> WRITE,3
3,FILE_OPS -> READ -> NAVIGATE,3
3,NAVIGATE -> UTIL -> READ,3
3,READ -> NAVIGATE -> UTIL,3
3,NAVIGATE -> UTIL -> BUILD,3
3,READ -> BUILD -> NAVIGATE,3
3,NAVIGATE -> FILE_OPS -> READ,3
3,WRITE -> OTHER -> WRITE,3
3,NAVIGATE -> SCRIPT -> NAVIGATE,3
3,BUILD -> SEARCH_CONTENT -> SEARCH_FILES,3
3,READ -> TEST -> VCS,3
3,READ -> READ -> VCS,3
3,READ -> VCS -> TEST,3
3,WRITE -> WRITE -> UTIL,3
3,UTIL -> WRITE -> BUILD,3
3,BUILD -> NAVIGATE -> UTIL,3
3,UTIL -> NAVIGATE -> VCS,3
3,OTHER -> WRITE -> NAVIGATE,3
3,BUILD -> SEARCH_FILES -> SEARCH_FILES,3
3,NAVIGATE -> SEARCH_CONTENT -> SEARCH_CONTENT,3
3,SEARCH_FILES -> BUILD -> TEST,3
3,SEARCH_CONTENT -> BUILD -> TEST,3
3,WRITE -> SEARCH_CONTENT -> TEST,3
3,SEARCH_FILES -> SEARCH_FILES -> TEST,3
3,SEARCH_CONTENT -> TEST -> NAVIGATE,3
3,SEARCH_CONTENT -> VCS -> VCS,3
3,VCS -> TEST -> READ,3
3,PATCH -> WRITE -> NAVIGATE,3
3,READ -> WRITE -> VCS,3
3,WRITE -> SEARCH_FILES -> READ,3
3,READ -> SEARCH_CONTENT -> BUILD,3
3,SEARCH_CONTENT -> BUILD -> SEARCH_CONTENT,3
3,SEARCH_CONTENT -> TEST -> READ,3
3,DEFECTS4J_OTHER -> NAVIGATE -> TEST,3
3,FILE_OPS -> NAVIGATE -> SEARCH_CONTENT,3
3,SEARCH_CONTENT -> SEARCH_FILES -> TEST,3
3,BUILD -> SEARCH_CONTENT -> NAVIGATE,3
3,UTIL -> TEST -> SEARCH_CONTENT,3
3,FILE_OPS -> READ -> WRITE,3
3,OTHER -> OTHER -> NAVIGATE,3
3,TEST -> SEARCH_CONTENT -> TEST,3
3,TEST -> SEARCH_FILES -> SEARCH_CONTENT,3
3,UTIL -> TEST -> UTIL,3
3,FILE_OPS -> TEST -> WRITE,3
3,WRITE -> SEARCH_CONTENT -> NAVIGATE,3
3,VCS -> TEST -> BUILD,3
3,VCS -> READ -> SEARCH_CONTENT,3
3,NAVIGATE -> UTIL -> WRITE,3
3,NAVIGATE -> UTIL -> NAVIGATE,3
3,PATCH -> NAVIGATE -> WRITE,3
3,BUILD -> UTIL -> TEST,3
3,FILE_OPS -> FILE_OPS -> WRITE,3
3,FILE_OPS -> WRITE -> FILE_OPS,3
3,VCS -> SEARCH_CONTENT -> NAVIGATE,3
3,WRITE -> READ -> FILE_OPS,3
3,READ -> FILE_OPS -> WRITE,3
3,READ -> READ -> UTIL,3
3,WRITE -> TEST -> SEARCH_CONTENT,2
3,SEARCH_FILES -> SEARCH_FILES -> WRITE,2
3,SEARCH_FILES -> TEST -> TEST,2
3,TEST -> FILE_OPS -> BUILD,2
3,TEST -> FILE_OPS -> TEST,2
3,VCS -> VCS -> SEARCH_CONTENT,2
3,VCS -> SEARCH_CONTENT -> VCS,2
3,SEARCH_CONTENT -> VCS -> WRITE,2
3,READ -> VCS -> SEARCH_CONTENT,2
3,PATCH -> READ -> NAVIGATE,2
3,NAVIGATE -> WRITE -> TEST,2
3,BUILD -> NAVIGATE -> SCRIPT,2
3,NAVIGATE -> SCRIPT -> BUILD,2
3,SCRIPT -> BUILD -> TEST,2
3,BUILD -> TEST -> SEARCH_FILES,2
3,SEARCH_CONTENT -> WRITE -> FILE_OPS,2
3,BUILD -> READ -> BUILD,2
