window_size,tool_sequence,frequency
3,NAVIGATE -> TEST -> NAVIGATE,147
3,TEST -> NAVIGATE -> TEST,122
3,READ -> READ -> READ,118
3,WRITE -> NAVIGATE -> BUILD,94
3,READ -> SEARCH_CONTENT -> READ,92
3,NAVIGATE -> BUILD -> NAVIGATE,89
3,BUILD -> NAVIGATE -> TEST,73
3,READ -> SEARCH_FILES -> READ,72
3,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,70
3,WRITE -> WRITE -> WRITE,66
3,READ -> READ -> WRITE,61
3,WRITE -> BUILD -> TEST,60
3,BUILD -> TEST -> TEST,58
3,SEARCH_CONTENT -> READ -> READ,58
3,NAVIGATE -> TEST -> READ,49
3,READ -> READ -> SEARCH_CONTENT,46
3,READ -> WRITE -> READ,45
3,READ -> WRITE -> NAVIGATE,45
3,SEARCH_CONTENT -> READ -> SEARCH_CONTENT,44
3,SEARCH_CONTENT -> READ -> WRITE,43
3,READ -> WRITE -> WRITE,43
3,READ -> TEST -> READ,42
3,SEARCH_FILES -> READ -> SEARCH_FILES,41
3,WRITE -> READ -> WRITE,40
3,NAVIGATE -> BUILD -> BUILD,38
3,READ -> WRITE -> BUILD,37
3,READ -> SEARCH_CONTENT -> SEARCH_CONTENT,36
3,READ -> NAVIGATE -> TEST,36
3,NAVIGATE -> VCS -> NAVIGATE,35
3,WRITE -> WRITE -> NAVIGATE,35
3,TEST -> TEST -> READ,34
3,SEARCH_CONTENT -> SEARCH_CONTENT -> READ,34
3,TEST -> TEST -> TEST,34
3,SEARCH_FILES -> READ -> READ,33
3,READ -> TEST -> TEST,31
3,NAVIGATE -> TEST -> WRITE,31
3,TEST -> READ -> TEST,30
3,WRITE -> READ -> READ,29
3,TEST -> READ -> SEARCH_CONTENT,28
3,TEST -> READ -> WRITE,27
3,TEST -> READ -> READ,27
3,VCS -> NAVIGATE -> VCS,27
3,TEST -> SEARCH_CONTENT -> READ,26
3,BUILD -> NAVIGATE -> BUILD,25
3,TEST -> NAVIGATE -> BUILD,23
3,BUILD -> WRITE -> NAVIGATE,21
3,NAVIGATE -> BUILD -> WRITE,20
3,WRITE -> WRITE -> BUILD,19
3,TEST -> SEARCH_FILES -> READ,19
3,READ -> READ -> NAVIGATE,19
3,BUILD -> BUILD -> WRITE,18
3,READ -> READ -> SEARCH_FILES,18
3,READ -> WRITE -> TEST,17
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,17
3,BUILD -> BUILD -> NAVIGATE,17
3,SEARCH_CONTENT -> READ -> NAVIGATE,17
3,TEST -> TEST -> WRITE,16
3,TEST -> WRITE -> NAVIGATE,16
3,READ -> READ -> TEST,16
3,SEARCH_CONTENT -> SEARCH_FILES -> READ,16
3,READ -> NAVIGATE -> BUILD,15
3,SEARCH_FILES -> READ -> SEARCH_CONTENT,15
3,READ -> SEARCH_FILES -> SEARCH_FILES,14
3,WRITE -> WRITE -> READ,14
3,READ -> SEARCH_CONTENT -> SEARCH_FILES,13
3,SEARCH_FILES -> SEARCH_FILES -> READ,13
3,READ -> TEST -> SEARCH_CONTENT,13
3,NAVIGATE -> SEARCH_CONTENT -> READ,13
3,READ -> TEST -> SEARCH_FILES,13
3,NAVIGATE -> VCS -> WRITE,13
3,SEARCH_FILES -> READ -> TEST,12
3,TEST -> READ -> NAVIGATE,12
3,WRITE -> READ -> SEARCH_CONTENT,11
3,SEARCH_FILES -> READ -> WRITE,11
3,SEARCH_CONTENT -> READ -> SEARCH_FILES,11
3,WRITE -> NAVIGATE -> WRITE,11
3,SEARCH_FILES -> READ -> NAVIGATE,10
3,TEST -> NAVIGATE -> VCS,10
3,TEST -> WRITE -> WRITE,10
3,BUILD -> WRITE -> WRITE,10
3,WRITE -> NAVIGATE -> TEST,10
3,NAVIGATE -> BUILD -> TEST,9
3,READ -> NAVIGATE -> VCS,9
3,TEST -> TEST -> BUILD,9
3,TEST -> WRITE -> BUILD,9
3,TEST -> READ -> SEARCH_FILES,9
3,WRITE -> TEST -> TEST,9
3,NAVIGATE -> TEST -> SEARCH_CONTENT,9
3,TEST -> TEST -> NAVIGATE,8
3,BUILD -> TEST -> WRITE,8
3,WRITE -> BUILD -> BUILD,8
