window_size,tool_sequence,frequency
3,NAVIGATE -> TEST -> NAVIGATE,319
3,WRITE -> NAVIGATE -> BUILD,311
3,NAVIGATE -> BUILD -> NAVIGATE,273
3,READ -> READ -> READ,267
3,TEST -> NAVIGATE -> TEST,232
3,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,212
3,READ -> SEARCH_CONTENT -> READ,193
3,BUILD -> NAVIGATE -> TEST,175
3,READ -> TEST -> READ,174
3,SEARCH_CONTENT -> READ -> READ,166
3,READ -> READ -> WRITE,161
3,READ -> WRITE -> NAVIGATE,154
3,WRITE -> BUILD -> TEST,153
3,READ -> SEARCH_FILES -> READ,149
3,WRITE -> READ -> WRITE,136
3,READ -> WRITE -> READ,131
3,NAVIGATE -> TEST -> READ,131
3,NAVIGATE -> TEST -> WRITE,128
3,BUILD -> TEST -> TEST,124
3,TEST -> READ -> TEST,119
3,READ -> WRITE -> WRITE,119
3,NAVIGATE -> BUILD -> BUILD,117
3,READ -> NAVIGATE -> TEST,114
3,READ -> READ -> SEARCH_CONTENT,113
3,SEARCH_CONTENT -> READ -> WRITE,106
3,SEARCH_CONTENT -> READ -> SEARCH_CONTENT,103
3,TEST -> TEST -> TEST,102
3,SEARCH_CONTENT -> SEARCH_CONTENT -> READ,98
3,SEARCH_FILES -> READ -> READ,97
3,WRITE -> WRITE -> NAVIGATE,97
3,TEST -> WRITE -> NAVIGATE,93
3,TEST -> TEST -> READ,92
3,NAVIGATE -> VCS -> NAVIGATE,91
3,BUILD -> NAVIGATE -> BUILD,89
3,WRITE -> WRITE -> WRITE,88
3,READ -> TEST -> TEST,84
3,READ -> WRITE -> BUILD,84
3,READ -> SEARCH_CONTENT -> SEARCH_CONTENT,83
3,SEARCH_FILES -> READ -> SEARCH_FILES,82
3,TEST -> READ -> READ,80
3,TEST -> READ -> WRITE,80
3,TEST -> NAVIGATE -> BUILD,76
3,NAVIGATE -> BUILD -> WRITE,76
3,BUILD -> BUILD -> WRITE,76
3,WRITE -> READ -> READ,72
3,WRITE -> NAVIGATE -> TEST,71
3,BUILD -> WRITE -> NAVIGATE,68
3,WRITE -> BUILD -> BUILD,68
3,READ -> READ -> NAVIGATE,67
3,WRITE -> WRITE -> READ,64
3,TEST -> SEARCH_CONTENT -> READ,63
3,BUILD -> TEST -> WRITE,59
3,NAVIGATE -> WRITE -> NAVIGATE,59
3,TEST -> READ -> SEARCH_CONTENT,57
3,TEST -> READ -> NAVIGATE,56
3,READ -> READ -> SEARCH_FILES,56
3,VCS -> NAVIGATE -> VCS,56
3,WRITE -> WRITE -> BUILD,54
3,TEST -> WRITE -> BUILD,52
3,WRITE -> NAVIGATE -> WRITE,52
3,READ -> SEARCH_FILES -> SEARCH_FILES,50
3,READ -> NAVIGATE -> BUILD,50
3,TEST -> WRITE -> WRITE,50
3,NAVIGATE -> SEARCH_CONTENT -> NAVIGATE,50
3,BUILD -> BUILD -> NAVIGATE,47
3,NAVIGATE -> VCS -> WRITE,46
3,NAVIGATE -> SEARCH_CONTENT -> READ,45
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,45
3,NAVIGATE -> TEST -> SEARCH_CONTENT,44
3,TEST -> TEST -> WRITE,44
3,READ -> READ -> TEST,43
3,SEARCH_CONTENT -> SEARCH_FILES -> READ,42
3,SEARCH_FILES -> SEARCH_FILES -> READ,42
3,SEARCH_CONTENT -> READ -> NAVIGATE,41
3,WRITE -> READ -> NAVIGATE,39
3,TEST -> NAVIGATE -> VCS,38
3,BUILD -> WRITE -> BUILD,38
3,NAVIGATE -> BUILD -> TEST,37
3,SEARCH_CONTENT -> NAVIGATE -> SEARCH_CONTENT,37
3,READ -> BUILD -> TEST,36
3,READ -> NAVIGATE -> SEARCH_CONTENT,36
3,READ -> SEARCH_CONTENT -> SEARCH_FILES,33
3,TEST -> READ -> SEARCH_FILES,33
3,BUILD -> READ -> WRITE,33
3,SEARCH_FILES -> READ -> SEARCH_CONTENT,32
3,BUILD -> WRITE -> WRITE,32
3,READ -> TEST -> SEARCH_CONTENT,31
3,BUILD -> WRITE -> READ,30
3,BUILD -> TEST -> NAVIGATE,30
3,BUILD -> BUILD -> BUILD,29
3,NAVIGATE -> BUILD -> READ,28
3,SEARCH_CONTENT -> READ -> TEST,27
3,READ -> WRITE -> SEARCH_CONTENT,27
3,BUILD -> TEST -> READ,26
3,TEST -> WRITE -> READ,26
3,WRITE -> NAVIGATE -> VCS,26
3,NAVIGATE -> SEARCH_CONTENT -> WRITE,26
3,SEARCH_FILES -> SEARCH_CONTENT -> READ,26
3,BUILD -> BUILD -> READ,26
3,TEST -> SEARCH_FILES -> READ,25
3,VCS -> WRITE -> NAVIGATE,25
3,TEST -> TEST -> SEARCH_CONTENT,25
3,READ -> WRITE -> TEST,25
3,READ -> SEARCH_CONTENT -> NAVIGATE,24
3,SEARCH_CONTENT -> WRITE -> NAVIGATE,24
3,BUILD -> NAVIGATE -> VCS,24
3,WRITE -> READ -> SEARCH_CONTENT,23
3,WRITE -> NAVIGATE -> PATCH,23
3,SEARCH_FILES -> READ -> WRITE,22
3,SEARCH_FILES -> READ -> NAVIGATE,22
3,WRITE -> NAVIGATE -> SEARCH_CONTENT,22
3,NAVIGATE -> FILE_OPS -> NAVIGATE,22
3,WRITE -> BUILD -> WRITE,22
3,OTHER -> OTHER -> OTHER,22
3,READ -> NAVIGATE -> VCS,21
3,BUILD -> BUILD -> TEST,21
3,WRITE -> TEST -> TEST,21
3,READ -> NAVIGATE -> WRITE,20
3,WRITE -> SEARCH_CONTENT -> READ,20
3,NAVIGATE -> SEARCH_FILES -> NAVIGATE,20
3,SEARCH_CONTENT -> NAVIGATE -> BUILD,19
3,SEARCH_FILES -> SEARCH_FILES -> SEARCH_CONTENT,19
3,SEARCH_CONTENT -> WRITE -> WRITE,18
3,SEARCH_FILES -> READ -> TEST,18
3,READ -> TEST -> SEARCH_FILES,18
3,NAVIGATE -> BUILD -> SEARCH_CONTENT,18
3,TEST -> WRITE -> TEST,18
3,WRITE -> TEST -> WRITE,18
3,BUILD -> SEARCH_CONTENT -> READ,17
3,VCS -> NAVIGATE -> TEST,17
3,VCS -> WRITE -> BUILD,17
3,SEARCH_CONTENT -> READ -> SEARCH_FILES,17
3,SEARCH_CONTENT -> NAVIGATE -> TEST,17
3,SEARCH_CONTENT -> WRITE -> BUILD,17
3,BUILD -> READ -> READ,16
3,READ -> TEST -> WRITE,16
3,NAVIGATE -> WRITE -> WRITE,16
3,TEST -> TEST -> NAVIGATE,16
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_FILES,16
3,BUILD -> NAVIGATE -> SEARCH_FILES,16
3,WRITE -> SEARCH_CONTENT -> SEARCH_CONTENT,16
3,WRITE -> NAVIGATE -> FILE_OPS,15
3,READ -> READ -> BUILD,15
3,TEST -> SEARCH_CONTENT -> NAVIGATE,15
3,TEST -> TEST -> SEARCH_FILES,14
3,READ -> SEARCH_FILES -> SEARCH_CONTENT,14
3,TEST -> SEARCH_CONTENT -> SEARCH_CONTENT,14
3,NAVIGATE -> SEARCH_FILES -> READ,14
3,NAVIGATE -> VCS -> READ,14
3,TEST -> VCS -> VCS,13
3,NAVIGATE -> WRITE -> READ,13
3,WRITE -> TEST -> READ,13
3,SEARCH_FILES -> NAVIGATE -> TEST,13
3,WRITE -> WRITE -> TEST,13
3,SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE,12
3,TEST -> TEST -> BUILD,12
3,NAVIGATE -> SEARCH_FILES -> WRITE,12
3,SEARCH_CONTENT -> NAVIGATE -> WRITE,12
3,NAVIGATE -> FILE_OPS -> WRITE,12
3,VCS -> WRITE -> WRITE,12
3,TEST -> BUILD -> TEST,12
3,READ -> NAVIGATE -> SEARCH_FILES,12
3,TEST -> SEARCH_FILES -> SEARCH_FILES,11
3,TEST -> SEARCH_CONTENT -> WRITE,11
3,BUILD -> NAVIGATE -> FILE_OPS,11
3,READ -> SEARCH_CONTENT -> WRITE,11
3,TEST -> TEST -> VCS,11
3,SEARCH_FILES -> TEST -> READ,11
3,READ -> TEST -> BUILD,11
3,WRITE -> BUILD -> READ,10
3,BUILD -> TEST -> VCS,10
3,VCS -> VCS -> WRITE,10
3,READ -> NAVIGATE -> FILE_OPS,10
3,BUILD -> READ -> NAVIGATE,10
3,SEARCH_CONTENT -> SEARCH_FILES -> SEARCH_CONTENT,10
3,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT,10
3,BUILD -> WRITE -> TEST,10
3,VCS -> VCS -> VCS,10
3,TEST -> NAVIGATE -> SEARCH_CONTENT,10
3,BUILD -> READ -> SEARCH_CONTENT,10
3,NAVIGATE -> DEFECTS4J_OTHER -> NAVIGATE,10
3,TEST -> READ -> BUILD,9
3,FILE_OPS -> NAVIGATE -> WRITE,9
3,WRITE -> SEARCH_CONTENT -> WRITE,9
3,BUILD -> NAVIGATE -> SEARCH_CONTENT,9
3,READ -> VCS -> WRITE,9
3,SEARCH_CONTENT -> SEARCH_FILES -> SEARCH_FILES,9
3,VCS -> WRITE -> READ,9
3,BUILD -> SEARCH_CONTENT -> SEARCH_CONTENT,9
3,BUILD -> TEST -> SEARCH_CONTENT,9
3,NAVIGATE -> PATCH -> NAVIGATE,9
3,NAVIGATE -> PATCH -> WRITE,8
3,READ -> SEARCH_FILES -> TEST,8
3,WRITE -> TEST -> NAVIGATE,8
3,WRITE -> TEST -> BUILD,8
3,BUILD -> TEST -> BUILD,8
3,BUILD -> BUILD -> SEARCH_CONTENT,8
3,FILE_OPS -> NAVIGATE -> TEST,8
3,BUILD -> SEARCH_FILES -> READ,7
3,SEARCH_CONTENT -> READ -> BUILD,7
3,FILE_OPS -> BUILD -> TEST,7
3,TEST -> NAVIGATE -> FILE_OPS,7
3,WRITE -> NAVIGATE -> UTIL,7
3,WRITE -> FILE_OPS -> WRITE,7
3,WRITE -> BUILD -> NAVIGATE,7
3,WRITE -> BUILD -> VCS,7
3,SEARCH_CONTENT -> NAVIGATE -> VCS,7
3,SEARCH_FILES -> NAVIGATE -> SEARCH_CONTENT,7
3,SEARCH_CONTENT -> NAVIGATE -> SEARCH_FILES,7
3,SEARCH_FILES -> SEARCH_FILES -> NAVIGATE,7
3,BUILD -> SEARCH_CONTENT -> WRITE,7
3,NAVIGATE -> BUILD -> UTIL,7
3,WRITE -> NAVIGATE -> READ,7
3,VCS -> READ -> READ,7
3,BUILD -> BUILD -> FILE_OPS,7
3,NAVIGATE -> TEST -> SEARCH_FILES,7
3,VCS -> READ -> WRITE,7
3,WRITE -> BUILD -> SEARCH_CONTENT,6
3,READ -> TEST -> NAVIGATE,6
3,WRITE -> NAVIGATE -> SEARCH_FILES,6
3,SEARCH_FILES -> WRITE -> NAVIGATE,6
3,WRITE -> FILE_OPS -> NAVIGATE,6
3,VCS -> NAVIGATE -> SEARCH_CONTENT,6
3,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_FILES,6
3,WRITE -> READ -> BUILD,6
3,TEST -> READ -> VCS,6
3,SEARCH_CONTENT -> TEST -> TEST,6
3,TEST -> BUILD -> WRITE,6
3,TEST -> BUILD -> BUILD,6
3,READ -> SEARCH_CONTENT -> TEST,6
3,SEARCH_FILES -> NAVIGATE -> BUILD,6
3,SEARCH_CONTENT -> WRITE -> SEARCH_CONTENT,6
3,SEARCH_FILES -> NAVIGATE -> SEARCH_FILES,6
3,TEST -> NAVIGATE -> SEARCH_FILES,6
3,NAVIGATE -> WRITE -> FILE_OPS,6
3,FILE_OPS -> WRITE -> NAVIGATE,6
3,WRITE -> WRITE -> SEARCH_CONTENT,6
3,NAVIGATE -> READ -> READ,6
3,WRITE -> READ -> TEST,6
3,TEST -> BUILD -> SEARCH_FILES,5
3,SEARCH_FILES -> WRITE -> READ,5
3,TEST -> NAVIGATE -> DEFECTS4J_OTHER,5
3,NAVIGATE -> PATCH -> READ,5
3,NAVIGATE -> FILE_OPS -> FILE_OPS,5
3,NAVIGATE -> WRITE -> BUILD,5
3,FILE_OPS -> NAVIGATE -> BUILD,5
3,FILE_OPS -> WRITE -> BUILD,5
