bug,pass,test_fail,compile_fail,failed_tests,duration
Chart-2,No,Yes,No,org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2; org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_3,N/A
Chart-4,No,Yes,No,org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange1; org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange2; org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange1; org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange2; org.jfree.chart.axis.junit.ValueAxisTests::testAxisMargins; org.jfree.chart.junit.JFreeChartTests::testSerialization4; org.jfree.chart.junit.ScatterPlotTests::testDrawWithNullInfo; org.jfree.chart.junit.ScatterPlotTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.ScatterPlotTests::testReplaceDataset; org.jfree.chart.junit.TimeSeriesChartTests::testDrawWithNullInfo; org.jfree.chart.junit.TimeSeriesChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.TimeSeriesChartTests::testReplaceDataset; org.jfree.chart.junit.XYAreaChartTests::testDrawWithNullInfo; org.jfree.chart.junit.XYAreaChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.XYAreaChartTests::testReplaceDataset; org.jfree.chart.junit.XYStepAreaChartTests::testDrawWithNullInfo; org.jfree.chart.junit.XYStepAreaChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.XYStepAreaChartTests::testReplaceDataset; org.jfree.chart.junit.XYStepChartTests::testDrawWithNullInfo; org.jfree.chart.junit.XYStepChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.XYStepChartTests::testReplaceDataset; org.jfree.chart.plot.junit.XYPlotTests::testDrawRangeGridlines,N/A
Chart-14,Yes,No,No,,N/A
Chart-15,Yes,No,No,,N/A
Chart-16,No,Yes,No,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetCategoryIndex; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetCategoryKeys; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetSeriesIndex; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowCount; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowIndex; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnCount; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnIndex; org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testCloning2,N/A
Chart-18,No,Yes,No,org.jfree.data.junit.DefaultKeyedValues2DTests::testRemoveColumnByKey; org.jfree.data.junit.DefaultKeyedValuesTests::testRemoveValue,N/A
Chart-19,No,Yes,No,org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex,N/A
Chart-21,No,Yes,No,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests::testGetRangeBounds,N/A
Chart-22,No,Yes,No,org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByKey; org.jfree.data.junit.KeyedObjects2DTests::testRemoveValue; org.jfree.data.junit.KeyedObjects2DTests::testGetValueByKey; org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByIndex; org.jfree.data.junit.KeyedObjects2DTests::testSetObject; org.jfree.data.junit.KeyedObjects2DTests::testRemoveRowByKey,N/A
Chart-25,Yes,No,No,,N/A
Cli-1,Yes,No,No,,N/A
Cli-7,No,Yes,No,org.apache.commons.cli2.bug.Bug27575Test::testRequiredOptions,N/A
Cli-10,Yes,No,No,,N/A
Cli-13,No,Yes,No,org.apache.commons.cli2.bug.BugLoopingOptionLookAlikeTest::testLoopingOptionLookAlike2,N/A
Cli-14,No,Yes,No,org.apache.commons.cli2.bug.BugCLI144Test::testFileValidator,N/A
Cli-16,No,Yes,No,org.apache.commons.cli2.bug.BugCLI123Test::testMultipleChildOptions; org.apache.commons.cli2.bug.BugCLI123Test::testParentOptionAndChildOption; org.apache.commons.cli2.bug.BugCLI123Test::testSingleChildOption; org.apache.commons.cli2.commandline.DefaultingCommandLineTest::testGetOptions_Order; org.apache.commons.cli2.commandline.PreferencesCommandLineTest::testGetOptions_Order; org.apache.commons.cli2.commandline.PropertiesCommandLineTest::testGetOptions_Order; org.apache.commons.cli2.commandline.WriteableCommandLineImplTest::testGetOptions_Order,N/A
Cli-18,Yes,No,No,,N/A
Cli-21,Yes,No,No,,N/A
Cli-22,No,Yes,No,org.apache.commons.cli.ApplicationTest::testGroovy; org.apache.commons.cli.PosixParserTest::testStopAtExpectedArg,N/A
Cli-23,Yes,No,No,,N/A
Cli-26,No,Yes,No,org.apache.commons.cli.OptionBuilderTest::testBuilderIsResettedAlways,N/A
Cli-30,No,No,Yes,,N/A
Cli-31,Yes,No,No,,N/A
Cli-33,No,Yes,No,org.apache.commons.cli.HelpFormatterTest::testIndentedHeaderAndFooter,N/A
Cli-34,No,No,Yes,,N/A
Cli-36,Yes,No,No,,N/A
Cli-39,Yes,No,No,,N/A
Closure-3,No,Yes,No,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1a; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression3,N/A
Closure-4,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testImplementsExtendsLoop; com.google.javascript.jscomp.TypeCheckTest::testImplementsLoop; com.google.javascript.jscomp.TypeCheckTest::testConversionFromInterfaceToRecursiveConstructor,N/A
Closure-6,No,Yes,No,com.google.javascript.jscomp.LooseTypeCheckTest::testTypeRedefinition; com.google.javascript.jscomp.TypeCheckTest::testIssue635b; com.google.javascript.jscomp.TypeCheckTest::testTypeRedefinition,N/A
Closure-9,Yes,No,No,,N/A
Closure-16,No,Yes,No,com.google.javascript.jscomp.IntegrationTest::testIssue772; com.google.javascript.jscomp.ScopedAliasesTest::testIssue772,N/A
Closure-21,No,Yes,No,com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode,N/A
Closure-24,No,Yes,No,com.google.javascript.jscomp.ScopedAliasesTest::testNonAliasLocal,N/A
Closure-25,No,Yes,No,com.google.javascript.jscomp.TypeInferenceTest::testBackwardsInferenceNew,N/A
Closure-26,No,Yes,No,com.google.javascript.jscomp.CommandLineRunnerTest::testTransformAMDAndProcessCJS; com.google.javascript.jscomp.CommandLineRunnerTest::testProcessCJS; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testExports; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testModuleName; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testDash; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testVarRenaming; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testWithoutExports,N/A
Closure-27,No,Yes,No,com.google.javascript.rhino.IRTest::testIssue727_1; com.google.javascript.rhino.IRTest::testIssue727_2; com.google.javascript.rhino.IRTest::testIssue727_3,N/A
Closure-29,No,Yes,No,com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject10; com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject12; com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject22; com.google.javascript.jscomp.InlineObjectLiteralsTest::testIssue724; com.google.javascript.jscomp.IntegrationTest::testIssue724,N/A
Closure-30,No,Yes,No,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testInlineAcrossSideEffect1; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testCanInlineAcrossNoSideEffect; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testIssue698,N/A
