bug_id,benchmark,project,agent,mode,hunk_count,hunk_divergence,proximity_class,localization,repair,compile_fail,failed_test_prior,failed_test_after,regression_reduction,fail_to_pass_resolved,no_regressions,failed_tests,num_expected_edits,correct_edits,ote,missed_edits,total_input_tokens,total_output_tokens,cache_creation_tokens,cache_read_tokens,time_duration_s
Chart_14,hunk4j,Chart,claude,vanilla,4,0.0000,Orbit,1,1,0,4,0,4,,,,2,2,0,0,249,19650,154705,2385203,217.4
Chart_15,hunk4j,Chart,claude,vanilla,2,0.2668,Cluster,0,1,0,1,0,1,,,,1,0,1,1,196,16537,125323,2931769,268.5
Chart_16,hunk4j,Chart,claude,vanilla,2,0.4693,Cluster,1,1,0,8,0,8,,,,1,1,0,0,160,12284,101713,1867114,196.9
Chart_18,hunk4j,Chart,claude,vanilla,3,0.6569,Orbit,1,1,0,4,0,4,,,,2,2,0,0,337,21747,176232,2959559,232.5
Chart_19,hunk4j,Chart,claude,vanilla,2,0.0000,Cluster,1,1,0,2,0,2,,,,1,1,0,0,190,12830,74991,1506208,167.7
Chart_2,hunk4j,Chart,claude,vanilla,2,0.0234,Cluster,1,1,0,2,0,2,,,,1,1,0,0,290,26999,565888,6364124,455.3
Chart_21,hunk4j,Chart,claude,vanilla,3,0.6929,Cluster,1,1,0,1,0,1,,,,1,1,0,0,148,8513,71928,1175575,176.9
Chart_22,hunk4j,Chart,claude,vanilla,4,0.7375,Cluster,1,1,0,6,0,6,,,,1,1,0,0,233,28350,174202,5420882,408.7
Chart_25,hunk4j,Chart,claude,vanilla,6,0.6392,Cluster,1,1,0,4,0,4,,,,1,1,0,0,208,13166,89655,1640405,172.5
Chart_4,hunk4j,Chart,claude,vanilla,2,0.2093,Nucleus,1,1,0,22,0,22,,,,1,1,0,0,158,11151,63122,1959852,224.8
Cli_1,hunk4j,Cli,claude,vanilla,10,0.9280,Cluster,1,1,0,1,0,1,,,,1,1,1,0,2163,10171,66538,1456580,167.6
Cli_10,hunk4j,Cli,claude,vanilla,2,0.3527,Cluster,0,1,0,1,0,1,,,,1,0,2,1,211,6970,63455,1147738,110.5
Cli_13,hunk4j,Cli,claude,vanilla,3,0.6066,Sprawl,1,1,0,1,0,1,,,,3,3,1,0,651,11954,75178,2040086,180.6
Cli_14,hunk4j,Cli,claude,vanilla,2,0.1311,Nucleus,0,1,0,1,0,1,,,,1,0,2,1,559,11014,88293,1970721,171.2
Cli_16,hunk4j,Cli,claude,vanilla,6,0.8500,Sprawl,0,1,0,3,0,3,,,,4,2,1,2,9399,23296,132516,3857659,324.9
Cli_18,hunk4j,Cli,claude,vanilla,3,0.6314,Cluster,1,1,0,1,0,1,,,,1,1,1,0,163,8052,58391,1125237,124.7
Cli_21,hunk4j,Cli,claude,vanilla,6,0.8336,Sprawl,0,1,0,1,0,1,,,,3,1,1,2,1772,9044,78382,1668773,166.2
Cli_22,hunk4j,Cli,claude,vanilla,7,1.0491,Cluster,1,1,0,1,0,1,,,,1,1,1,0,1161,25079,120411,3399975,348.4
Cli_23,hunk4j,Cli,claude,vanilla,2,0.2270,Nucleus,1,1,0,2,0,2,,,,1,1,1,0,4121,18546,143802,3956286,281.9
Cli_26,hunk4j,Cli,claude,vanilla,2,0.0000,Nucleus,1,1,0,1,0,1,,,,1,1,1,0,189,7874,66306,1054091,124.1
Cli_30,hunk4j,Cli,claude,vanilla,2,0.0227,Orbit,1,1,0,1,0,1,,,,2,2,1,0,154,11645,125422,3076025,206.4
Cli_31,hunk4j,Cli,claude,vanilla,3,0.4660,Orbit,1,1,0,1,0,1,,,,3,3,1,0,210,14794,112354,2557242,215.1
Cli_33,hunk4j,Cli,claude,vanilla,2,0.2562,Cluster,1,1,0,1,0,1,,,,1,1,1,0,161,9239,108318,1793050,160.9
Cli_34,hunk4j,Cli,claude,vanilla,2,0.2433,Orbit,1,1,0,2,0,2,,,,2,2,2,0,358,14648,110421,2893669,225.2
Cli_36,hunk4j,Cli,claude,vanilla,3,0.3925,Orbit,0,1,0,1,0,1,,,,2,1,1,1,193,6395,46991,1021063,108.6
Cli_39,hunk4j,Cli,claude,vanilla,2,0.4628,Cluster,1,1,0,2,0,2,,,,1,1,1,0,225,10794,73621,1804177,188.9
Cli_7,hunk4j,Cli,claude,vanilla,2,0.2329,Cluster,1,1,0,1,0,1,,,,1,1,1,0,370,10748,58414,1834481,193.0
Closure_100,hunk4j,Closure,claude,vanilla,2,0.3824,Cluster,1,1,0,9,0,9,,,,1,1,0,0,188,21037,93167,2365921,313.6
Closure_103,hunk4j,Closure,claude,vanilla,2,0.3851,Orbit,1,1,0,3,0,3,,,,2,2,0,0,292,18161,116323,3275896,338.5
Closure_105,hunk4j,Closure,claude,vanilla,2,0.2015,Nucleus,1,1,0,1,0,1,,,,1,1,0,0,165,12859,156086,3296307,291.1
Closure_106,hunk4j,Closure,claude,vanilla,2,0.4544,Fragment,1,1,0,4,0,4,,,,2,2,0,0,185,15047,188255,4860111,334.5
Closure_108,hunk4j,Closure,claude,vanilla,4,0.9080,Cluster,1,1,0,1,0,1,,,,1,1,0,0,137,11612,114919,2784971,336.6
Closure_115,hunk4j,Closure,claude,vanilla,2,0.3925,Nucleus,1,1,0,5,0,5,,,,1,1,0,0,164,16829,162066,5126652,484.6
Closure_116,hunk4j,Closure,claude,vanilla,2,0.3688,Nucleus,1,1,0,8,0,8,,,,1,1,0,0,136,31139,173241,4448001,645.9
Closure_117,hunk4j,Closure,claude,vanilla,2,0.0000,Nucleus,1,1,0,1,0,1,,,,1,1,0,0,155,16420,125302,3174438,380.2
Closure_134,hunk4j,Closure,claude,vanilla,6,0.9513,Orbit,1,1,0,2,0,2,,,,2,2,0,0,457,25800,192515,6452796,474.6
Closure_135,hunk4j,Closure,claude,vanilla,3,0.6944,Fragment,1,1,0,2,0,2,,,,2,2,0,0,509,41282,337778,11758854,817.2
Closure_136,hunk4j,Closure,claude,vanilla,2,0.3806,Orbit,0,1,0,4,0,4,,,,2,1,1,1,223,45267,217149,9560685,829.1
Closure_137,hunk4j,Closure,claude,vanilla,10,1.1140,Orbit,0,0,0,5,1,4,,,,3,1,0,2,275,47789,217861,9849749,778.0
Closure_138,hunk4j,Closure,claude,vanilla,3,0.5721,Orbit,1,1,0,5,0,5,,,,2,2,0,0,248,24330,237842,6974535,549.0
Closure_139,hunk4j,Closure,claude,vanilla,4,0.5309,Cluster,1,1,0,3,0,3,,,,1,1,0,0,180,23600,136045,4267974,356.3
Closure_140,hunk4j,Closure,claude,vanilla,3,0.4613,Cluster,1,1,0,1,0,1,,,,1,1,0,0,162,27627,238663,6097001,495.2
Closure_141,hunk4j,Closure,claude,vanilla,3,0.4671,Orbit,0,0,0,8,3,5,,,,2,1,0,1,242,20272,242714,4955975,462.6
Closure_142,hunk4j,Closure,claude,vanilla,3,0.5527,Sprawl,1,1,0,2,0,2,,,,2,2,0,0,332,23996,411803,5107475,598.7
Closure_143,hunk4j,Closure,claude,vanilla,2,0.3635,Orbit,0,1,0,3,0,3,,,,2,1,2,1,216,18384,175499,4570343,368.0
