bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,file_distance,pair_divergence
astropy__astropy-13033,0,1,0.9599,0.3667,0.0000,0.1760
astropy__astropy-13579,0,1,0.9724,0.2211,0.0000,0.1075
astropy__astropy-14365,0,1,0.9813,0.5064,0.0000,0.2485
astropy__astropy-14369,0,1,1.0000,0.2277,0.0000,0.1138
astropy__astropy-14369,0,2,0.9995,1.0000,0.2500,0.4997
astropy__astropy-14369,0,3,0.9986,1.0000,0.2500,0.4993
astropy__astropy-14369,0,4,0.9993,1.0000,0.2500,0.4996
astropy__astropy-14369,1,2,0.9974,1.0000,0.2500,0.4987
astropy__astropy-14369,1,3,1.0000,1.0000,0.2500,0.5000
astropy__astropy-14369,1,4,0.9972,1.0000,0.2500,0.4986
astropy__astropy-14369,2,3,0.9290,0.0000,0.0000,0.0000
astropy__astropy-14369,2,4,0.9852,0.0000,0.0000,0.0000
astropy__astropy-14369,3,4,0.9937,0.0000,0.0000,0.0000
astropy__astropy-14598,0,1,0.9824,0.4255,0.0000,0.2090
astropy__astropy-7606,0,1,0.9871,0.4117,0.0000,0.2032
astropy__astropy-8707,0,1,0.9953,1.0000,0.2500,0.4977
astropy__astropy-8707,0,2,0.9876,1.0000,0.2500,0.4938
astropy__astropy-8707,0,3,0.5054,1.0000,0.2500,0.2527
astropy__astropy-8707,0,4,0.9869,1.0000,0.2500,0.4935
astropy__astropy-8707,0,5,0.9954,1.0000,0.2500,0.4977
astropy__astropy-8707,1,2,0.9951,0.4307,0.0000,0.2143
astropy__astropy-8707,1,3,0.9946,0.3413,0.0000,0.1697
astropy__astropy-8707,1,4,0.9934,0.4307,0.0000,0.2139
astropy__astropy-8707,1,5,1.0000,0.2153,0.0000,0.1077
astropy__astropy-8707,2,3,0.9929,0.2153,0.0000,0.1069
astropy__astropy-8707,2,4,0.9987,0.3413,0.0000,0.1704
astropy__astropy-8707,2,5,1.0000,0.3413,0.0000,0.1707
astropy__astropy-8707,3,4,0.9889,0.2153,0.0000,0.1065
astropy__astropy-8707,3,5,0.9998,0.2153,0.0000,0.1076
astropy__astropy-8707,4,5,0.9363,0.3413,0.0000,0.1598
astropy__astropy-8872,0,1,0.9917,0.4362,0.0000,0.2163
astropy__astropy-8872,0,2,0.9755,0.3457,0.0000,0.1686
astropy__astropy-8872,1,2,0.6441,0.2181,0.0000,0.0702
django__django-10554,0,1,0.9996,1.0000,0.2000,0.4665
django__django-11138,0,1,0.7414,1.0000,0.4000,0.4448
django__django-11138,0,2,0.9807,1.0000,0.4000,0.5884
django__django-11138,0,3,0.9781,1.0000,0.4000,0.5868
django__django-11138,0,4,0.9724,1.0000,0.4000,0.5834
