bug_id,hunk_count,divergence
astropy__astropy-13033,2,0.1220
astropy__astropy-13579,2,0.0745
astropy__astropy-14365,2,0.1722
astropy__astropy-14369,5,0.5005
astropy__astropy-14598,2,0.1449
astropy__astropy-7606,2,0.1408
astropy__astropy-8707,6,0.4495
astropy__astropy-8872,3,0.1667
django__django-10554,2,0.3233
django__django-11138,7,0.7929
django__django-11400,4,0.8751
django__django-11532,11,1.2682
django__django-11728,6,0.2275
django__django-11740,3,0.1104
django__django-12406,3,0.6890
django__django-13343,2,0.0752
django__django-13346,2,0.0000
django__django-13449,2,0.0744
django__django-15128,6,0.1969
django__django-15503,6,0.3061
django__django-15563,3,0.3766
django__django-15572,2,0.1305
django__django-15732,4,0.1703
django__django-16631,3,0.4095
scikit-learn__scikit-learn-10297,3,0.1481
scikit-learn__scikit-learn-14087,2,0.0734
scikit-learn__scikit-learn-25232,5,0.2808
scikit-learn__scikit-learn-25747,2,0.0824
scikit-learn__scikit-learn-25931,2,0.0000
scikit-learn__scikit-learn-26194,4,0.0970
scikit-learn__scikit-learn-26323,2,0.0777
sympy__sympy-13877,6,0.5968
